OCCUP_M;OCCUP_F;GROUPE;GROUPE_CODE;PCS;PCS_CODE;PCS_DETAIL
assistant de vie;assistante de vie;Employés / Employées;5;Personnels des services directs aux particuliers ;56;56D
employé de maison;employée de maison;Employés / Employées;5;Personnels des services directs aux particuliers ;56;56E
valet de chambre;femme de chambre;Employés / Employées;5;Personnels des services directs aux particuliers ;56;56E
cuisinier ;cuisinière ;Employés / Employées;5;Personnels des services directs aux particuliers ;56;56E
gardien d'immeuble;gardienne d'immeuble;Employés / Employées;5;Personnels des services directs aux particuliers ;56;56E
croupier;croupière;Employés / Employées;5;Personnels des services directs aux particuliers ;56;56F
assistant funéraire;assistante funéraire;Employés / Employées;5;Personnels des services directs aux particuliers ;56;56F
conducteur d'engins;conductrice d'engins;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62A
maçon;maçonne;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62A
scaphandrier;scaphandrière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62A
électricien;électricienne;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62B
ajusteur;ajusteuse;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62B
monteur;monteuse;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62B
fraiseur;fraiseuse;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62B
tourneur;tourneuse;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62B
usineur;usineuse;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62B
ouvrier;ouvrière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62C
éboueur;éboueuse;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62C
couturier;couturière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62D
menuisier;menuisière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62D
imprimeur;imprimeuse;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62D
ouvrier d'imprimerie;ouvrière d'imprimerie;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62D
chef de ligne;cheffe de ligne;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62E
peintre industriel;peintre industrielle;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62E
laborantin;laborantine;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62E
mécanicien;mécanicienne;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type industriel ;62;62E
jardinier;jardinière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63A
paysagiste;paysagiste;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63A
horticulteur;horticultrice;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63A
maçon;maçonne;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63B
charpentier ;charpentière ;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63B
plombier;plombière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63B
installateur d’alarme ;installatrice d’alarme ;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63B
peintre en bâtiment;peintre en bâtiment;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63B
serrurier;serrurière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63B
carrossier ;carrossière ;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63C
mécanicien agricole;mécanicienne agricole;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63C
réparateur tv;réparatrice tv;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63C
couturier;couturière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63C
maroquinier;maroquinière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63C
brodeur;brodeuse;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63C
cordonnier;cordonnière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63C
boucher;bouchère;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63D
charcutier;charcutière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63D
boulanger;boulangère;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63D
aide boucher;aide bouchère;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63D
cuisinier ;cuisinière ;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63E
commis de cuisine;commise de cuisine;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63E
costumier;costumière;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63F
technicien de plateau;technicienne de plateau;Ouvriers / Ouvrières;6;Ouvriers qualifiés / Ouvrières qualifiées de type artisanal ;63;63F
conducteur de bus;conductrice de bus;Ouvriers / Ouvrières;6;Conducteurs / Conductrices de véhicules de transport, chauffeurs-livreurs / chauffeuses-livreuses, coursiers / coursières ;64;64A
chauffeur de bus;chauffeuse de bus;Ouvriers / Ouvrières;6;Conducteurs / Conductrices de véhicules de transport, chauffeurs-livreurs / chauffeuses-livreuses, coursiers / coursières ;64;64A
chauffeur de taxi;chauffeuse de taxi;Ouvriers / Ouvrières;6;Conducteurs / Conductrices de véhicules de transport, chauffeurs-livreurs / chauffeuses-livreuses, coursiers / coursières ;64;64A
chauffeur vtc;chauffeuse vtc;Ouvriers / Ouvrières;6;Conducteurs / Conductrices de véhicules de transport, chauffeurs-livreurs / chauffeuses-livreuses, coursiers / coursières ;64;64A
chauffeur routier;chauffeuse routière;Ouvriers / Ouvrières;6;Conducteurs / Conductrices de véhicules de transport, chauffeurs-livreurs / chauffeuses-livreuses, coursiers / coursières ;64;64B
camionneur;camionneuse;Ouvriers / Ouvrières;6;Conducteurs / Conductrices de véhicules de transport, chauffeurs-livreurs / chauffeuses-livreuses, coursiers / coursières ;64;64B
routier;routière;Ouvriers / Ouvrières;6;Conducteurs / Conductrices de véhicules de transport, chauffeurs-livreurs / chauffeuses-livreuses, coursiers / coursières ;64;64B
livreur;livreuse;Ouvriers / Ouvrières;6;Conducteurs / Conductrices de véhicules de transport, chauffeurs-livreurs / chauffeuses-livreuses, coursiers / coursières ;64;64B
coursier;coursière;Ouvriers / Ouvrières;6;Conducteurs / Conductrices de véhicules de transport, chauffeurs-livreurs / chauffeuses-livreuses, coursiers / coursières ;64;64B
grutier;grutière;Ouvriers / Ouvrières;6;Conducteurs / Conductrices d’engins, caristes, magasiniers / magasinières et ouvriers / ouvrières du transport (non routier) ;65;65A
ouvrier de quai;ouvrière de quai;Ouvriers / Ouvrières;6;Conducteurs / Conductrices d’engins, caristes, magasiniers / magasinières et ouvriers / ouvrières du transport (non routier) ;65;65A
magasinier ;magasinière;Ouvriers / Ouvrières;6;Conducteurs / Conductrices d’engins, caristes, magasiniers / magasinières et ouvriers / ouvrières du transport (non routier) ;65;65C
préparateur de commandes;préparatrice de commandes;Ouvriers / Ouvrières;6;Conducteurs / Conductrices d’engins, caristes, magasiniers / magasinières et ouvriers / ouvrières du transport (non routier) ;65;65C
conducteur de train;conductrice de train;Ouvriers / Ouvrières;6;Conducteurs / Conductrices d’engins, caristes, magasiniers / magasinières et ouvriers / ouvrières du transport (non routier) ;65;65D
cantonnier;cantonnière;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67A
ouvrier de chantier;ouvrière de chantier;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67A
terrassier;terrassière;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67A
câbleur;câbleuse;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67B
ouvrier dans l’agroalimentaire ;ouvrière dans l’agroalimentaire ;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67C
mareyeur;mareyeuse;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67C
ouvrier de la métallurgie ;ouvrière de la métallurgie;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67C
agent de production;agente de production;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67D
agent logistique;agente logistique;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67E
magasinier ;magasinière ;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67E
manutentionnaire;manutentionnaire;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67E
bagagiste;bagagiste;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type industriel ;67;67E
aide maçon;aide maçonne;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68A
carreleur;carreleuse;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68A
vitrier;vitrière;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68A
apprenti mécanicien;apprentie mécanicienne;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68B
réparateur de cycles;réparatrice de cycles;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68B
couturier;couturière;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68B
apprenti boulanger;apprenti boulangère;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68C
agent d’entretien de bureaux ;agente d’entretien de bureaux ;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68D
agent de propreté ;agente de propreté ;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68D
technicien de surface ;technicienne de surface ;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68D
laveur de vitres;laveuse de vitres;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68D
ripeur;ripeuse;Ouvriers / Ouvrières;6;Ouvriers peu qualifiés / Ouvrières peu qualifiées de type artisanal ;68;68D
ouvrier agricole;ouvrière agricole ;Ouvriers / Ouvrières;6;Ouvriers / Ouvrières agricoles, des travaux forestiers, de la pêche et de l’aquaculture ;69;69A
bûcheron;bûcheronne;Ouvriers / Ouvrières;6;Ouvriers / Ouvrières agricoles, des travaux forestiers, de la pêche et de l’aquaculture ;69;69B
élagueur;élagueuse;Ouvriers / Ouvrières;6;Ouvriers / Ouvrières agricoles, des travaux forestiers, de la pêche et de l’aquaculture ;69;69B
marin-pêcheur;marin-pêcheuse;Ouvriers / Ouvrières;6;Ouvriers / Ouvrières agricoles, des travaux forestiers, de la pêche et de l’aquaculture ;69;69C
aquaculteur;aquacultrice;Ouvriers / Ouvrières;6;Ouvriers / Ouvrières agricoles, des travaux forestiers, de la pêche et de l’aquaculture ;69;69C
